plan_name,price_usd,effective_monthly_fee_usd,annual_fee_usd,annual_discount_pct,served_model,monthly_tokens,raw_usd_per_mtok,benchmark_note,confidence,plan_id,plan_name_en,plan_gen,workload,unmetered,promo_until
Ollama Pro,20.0,16.67,200.0,16.7,deepseek-v4.1-flash,6211200000,0.0032199897,[Pending DeepSWE],medium,ollama_pro,,,standard,False,
Ollama Pro,20.0,16.67,200.0,16.7,glm-5.1,255300000,0.078339209,[Pending DeepSWE],medium,ollama_pro,,,standard,False,
Ollama Pro,20.0,16.67,200.0,16.7,minimax-m3,418400000,0.047801147,[Pending DeepSWE],medium,ollama_pro,,,standard,False,
Ollama Pro,20.0,16.67,200.0,16.7,minimax-m2.7,836800000,0.023900574,[Pending DeepSWE],medium,ollama_pro,,,standard,False,
Ollama Max,100.0,100.0,1200.0,0.0,deepseek-v4.1-flash,31055900000,0.0032200001,[Pending DeepSWE],medium,ollama_max,,,standard,False,
Ollama Max,100.0,100.0,1200.0,0.0,glm-5.1,1276600000,0.078333072,[Pending DeepSWE],medium,ollama_max,,,standard,False,
Ollama Max,100.0,100.0,1200.0,0.0,minimax-m3,2092100000,0.047798862,[Pending DeepSWE],medium,ollama_max,,,standard,False,
Ollama Max,100.0,100.0,1200.0,0.0,minimax-m2.7,4184100000,0.023900002,[Pending DeepSWE],medium,ollama_max,,,standard,False,
Step Plan Mini (¥49),7.23,5.78,69.41,20.0,step-3.5-flash,1731600000,0.0041744772,[Pending DeepSWE],medium,stepfun_mini_cn,,,lowCache,False,
Step Plan Mini (¥49),7.23,5.78,69.41,20.0,step-3.7-flash,858800000,0.0084170059,[Pending DeepSWE],medium,stepfun_mini_cn,,,lowCache,False,
Step Plan Mini (¥49),7.23,5.78,69.41,20.0,step-5-preview,283200000,0.025524451,[Pending DeepSWE],medium,stepfun_mini_cn,,,lowCache,False,
Step Plan Plus (¥99),14.6,11.68,140.16,20.0,step-3.5-flash,6926400000,0.0021085369,[Pending DeepSWE],medium,stepfun_plus_cn,,,lowCache,False,
Step Plan Plus (¥99),14.6,11.68,140.16,20.0,step-3.7-flash,3435300000,0.0042513231,[Pending DeepSWE],medium,stepfun_plus_cn,,,lowCache,False,
Step Plan Plus (¥99),14.6,11.68,140.16,20.0,step-5-preview,1132700000,0.012893591,[Pending DeepSWE],high,stepfun_plus_cn,,,lowCache,False,
Step Plan Pro (¥199),29.36,23.49,281.86,20.0,step-3.5-flash,34632000000,0.00084767444,[Pending DeepSWE],medium,stepfun_pro_cn,,,lowCache,False,
Step Plan Pro (¥199),29.36,23.49,281.86,20.0,step-3.7-flash,17176600000,0.0017091078,[Pending DeepSWE],medium,stepfun_pro_cn,,,lowCache,False,
